toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_tranmid
"1475.01",431514478,"PC",8.4953513,718.4869448,2458767.6182960
"1476.01",432549364,"KP",1.2174936,6969.0000000,2460610.0369410
"1477.01",240681314,"KP",2.7324809,9548.2806012,2459855.9319780
"1478.01",409794137,"CP",10.1802014,11500.0000000,2459982.2363470
"1479.01",421308357,"FP",16.6828999,2054.0000000,2460319.9400690
"1480.01",335483600,"FP",3.3540530,6389.1712796,2459855.7113670
"1481.01",197650870,"FP",2.1853174,1168.0000000,2460422.8455790
"1482.01",252616865,"PC",5.7121916,7555.0000000,2459872.2984440
"1483.01",452803785,"FP",5.0037857,1950.0000000,2459844.5528580
"1484.01",67309890,"FP",1.1623941,1099.0000000,2460422.6164270
"1485.01",377191482,"FA",2.9551881,230.0000000,2459673.2068520
"1487.01",459978312,"FA",23.2879800,120.0000000,2458684.8873900
"1489.01",219751469,"FA",6.9830100,270.0000000,2458690.0492100
"1490.01",283474780,"APC",3.9943000,550.0000000,2458765.9143500
"1491.01",53875855,"PC",4.4902667,2513.0000000,2459873.7742090
"1492.01",354594208,"FP",0.8667300,662.9250000,2458765.2281300
"1494.01",411608801,"CP",5.0267996,6358.0060702,2459856.4165470
"1495.01",431148743,"FP",2.6277641,490.0000000,2459879.8084730
"1496.01",384045439,"FP",10.8266100,5890.0000000,2458743.8706600
"1497.01",371673488,"FP",0.8165295,468.0000000,2460422.2058210
"1498.01",316402246,"FP",1.4014167,2730.0000000,2459836.9241480
"1499.01",414870287,"FP",4.9589800,230.2320000,2458740.8589000
"1500.01",377420580,"FP",1.4147363,990.0000000,2460422.2569830
"1501.01",329145325,"FP",1.0777740,2680.0000000,2459882.0248750
"1502.01",410528770,"FP",2.7536237,1460.0000000,2459847.7807590
"1503.01",428065977,"FP",1.6534102,600.0000000,2459881.6527610
"1504.01",326114850,"FP",1.2456423,691.0000000,2460406.0483110
"1505.01",331034236,"FP",3.4272549,569.4677099,2459826.9079850
"1506.01",64836837,"FP",10.9115374,1039.0000000,2460423.0709640
"1508.01",415741431,"FP",2.1575124,550.0000000,2459878.8668660
"1509.01",272828463,"FP",1.5776090,1055.0000000,2460423.1009490
"1510.01",377739433,"FP",1.2385200,440.0000000,2458764.8252200
"1511.01",376682699,"FP",1.1025238,2919.0000000,2460422.2491620
"1512.01",434718964,"FP",1.5972260,3834.1260621,2459854.9312680
"1513.01",269509393,"FP",1.7658900,730.0000000,2458764.8441700
"1514.01",270238522,"FP",1.3699100,1170.0000000,2458765.4763600
"1515.01",470709084,"FP",3.6650500,910.0000000,2458768.5685800
"1516.01",376637093,"CP",2.0560153,17453.0000000,2460449.2013880
"1517.01",455962313,"FP",2.2550500,658.0000000,2460418.9942820
"1518.01",427761355,"CP",1.9026060,8984.9897271,2459854.4145800
"1519.01",272049972,"FP",1.0960111,2150.0000000,2458981.2420840
"1520.01",269238073,"FP",6.1461734,1034.0000000,2459878.5124290
"1521.01",366074069,"FP",4.1812866,4280.0000000,2459905.3977120
"1522.01",367102581,"FP",2.9798592,580.0000000,2459739.7985910
"1523.01",387413037,"FP",6.7269400,1070.0000000,2458738.9502800
"1524.01",314338017,"FP",10.9554897,370.0000000,2459837.0250750
"1525.01",276380902,"FP",0.6171788,519.0000000,2460421.6939890
"1526.01",313761775,"FP",1.5309799,654.0000000,2460421.8725580
"1527.01",202375913,"PC",5.0625809,2884.0000000,2460600.8892840
"1528.01",285543785,"APC",9.9385448,8500.0000000,2460441.8429670
"1529.01",312259170,"FP",0.8229000,2660.0000000,2458764.9405400
"1530.01",312469860,"FP",0.5026100,1120.0000000,2458764.7936200
"1531.01",312678993,"APC",0.5175204,1347.9655570,2459882.4970220
